Hubballi Railway Station,15.349847907566158,75.14861576883477
CBT Hubballi,15.344458849113517,75.1455472381655
DR BR Ambedkar Circle,15.352474879451991,75.14497616258846
HDMC,15.35086982363144,75.1407151194066
Rani Chennamma Circle,15.350954719656812,75.13640530427159
Hosur cross,15.354826982018762,75.13048692322798
Hosur Regional bus station,15.357404713016598,75.12888923014208
KIMS,15.360274234380519,75.12720056322087
Vidyanagar,15.364202228966526,75.1246306774316
BVB,15.367796726097438,75.1210215364243
Unkal Cross,15.370331853867189,75.11882251038229
Unkal Village,15.375734604879531,75.1141123671883
Unkal Lake,15.38238602616733,75.11183437254644
Bhairidevarkoppa,15.387090142041961,75.10526037600633
shantinikethan,15.391371663921754,75.09815744060357
APMC 3rd Gate,15.393754862746887,75.0921283252719
Navanagar,15.397118571718634,75.08252396839937
RTO,15.400722918677078,75.0773642761062
ISKCON,15.404813798370897,75.07008076132514
Rayapur,15.40679848508537,75.0650923979872
KMF1,15.409345482715036,75.06081804832654
Navalur Railway Station,15.415195712830359,75.05391278090059
SDM Medical College,15.417287633645453,75.04832289261843
Sattur,15.41838644884737,75.04232216654512
Navalur,15.427219296995519,75.03437869025292
Lakamanahalli,15.432947555590188,75.02500337066664
Gandhinagar,15.437874738739518,75.01919004051554
Vidyagiri,15.440992950726239,75.01679017252143
Tollnaka,15.446330517555975,75.01338597679386
Hosayellapur,15.449809883096796,75.01121272208444
NTTF,15.453711470909564,75.00905147454051
Dharwad Court Circle,15.4558131957472,75.00702306547778
Jubliee Circle,15.458219364340819,75.00754270359728
Dharwad BRTS Terminal,15.460205073532798,75.00932938242855
